-0-1
0-Data-"Taxa de c̢mbio - R$ / US$ - comercial - compra - m̩dia"
77-1959.05-"4,7676E-14"
78-1959.06-"4,8985E-14"
79-1959.07-"5,3149E-14"
80-1959.08-"5,4545E-14"
81-1959.09-"5,4545E-14"
82-1959.10-"5,7476E-14"
83-1959.11-"6,3029E-14"
84-1959.12-"6,5455E-14"
85-1960.01-"6,7004E-14"
86-1960.02-"6,6273E-14"
87-1960.03-"6,6182E-14"
88-1960.04-"6,6182E-14"
89-1960.05-"6,6182E-14"
90-1960.06-"6,6182E-14"
91-1960.07-"6,6182E-14"
92-1960.08-"6,6182E-14"
93-1960.09-"6,6182E-14"
94-1960.10-"6,6182E-14"
95-1960.11-"6,6182E-14"
96-1960.12-"6,6651E-14"
97-1961.01-"7,3302E-14"
98-1961.02-"7,8182E-14"
99-1961.03-"8,7625E-14"
100-1961.04-"1,0023E-13"
101-1961.05-"9,5684E-14"
102-1961.06-"9,2884E-14"
103-1961.07-"9,3091E-14"
104-1961.08-"9,5658E-14"
105-1961.09-"1,0373E-13"
106-1961.10-"1,0745E-13"
107-1961.11-"1,0909E-13"
108-1961.12-"1,0909E-13"
109-1962.01-"1,1273E-13"
110-1962.02-"1,1273E-13"
111-1962.03-"1,1273E-13"
112-1962.04-"1,1273E-13"
113-1962.05-"1,1818E-13"
114-1962.06-"1,2727E-13"
115-1962.07-"1,2982E-13"
116-1962.08-"1,3855E-13"
117-1962.09-"1,6349E-13"
118-1962.10-"1,6727E-13"
119-1962.11-"1,6727E-13"
120-1962.12-"1,6727E-13"
121-1963.01-"1,6727E-13"
122-1963.02-"1,6727E-13"
123-1963.03-"1,6727E-13"
124-1963.04-"1,8182E-13"
125-1963.05-"2,1818E-13"
126-1963.06-"2,1818E-13"
127-1963.07-"2,1818E-13"
128-1963.08-"2,1818E-13"
129-1963.09-"2,1818E-13"
130-1963.10-"2,1818E-13"
131-1963.11-"2,1818E-13"
132-1963.12-"2,1818E-13"
133-1964.01-"2,1818E-13"
134-1964.02-"4,1418E-13"
135-1964.03-"4,1418E-13"
136-1964.04-"4,2182E-13"
137-1964.05-"4,2182E-13"
138-1964.06-"4,2182E-13"
139-1964.07-"4,2182E-13"
140-1964.08-"4,3418E-13"
141-1964.09-"5,5745E-13"
142-1964.10-"5,6364E-13"
143-1964.11-"5,6364E-13"
144-1964.12-"5,8255E-13"
145-1965.01-"6,6364E-13"
146-1965.02-"6,6364E-13"
147-1965.03-"6,6364E-13"
148-1965.04-"6,6364E-13"
149-1965.05-"6,6364E-13"
150-1965.06-"6,6364E-13"
151-1965.07-"6,6364E-13"
152-1965.08-"6,6364E-13"
153-1965.09-"6,6364E-13"
154-1965.10-"6,6364E-13"
155-1965.11-"7,4255E-13"
156-1965.12-"8,0000E-13"
157-1966.01-"8,0000E-13"
158-1966.02-"8,0000E-13"
159-1966.03-"8,0000E-13"
160-1966.04-"8,0000E-13"
161-1966.05-"8,0000E-13"
162-1966.06-"8,0000E-13"
163-1966.07-"8,0000E-13"
164-1966.08-"8,0000E-13"
165-1966.09-"8,0000E-13"
166-1966.10-"8,0000E-13"
167-1966.11-"8,0000E-13"
168-1966.12-"8,0000E-13"
169-1967.01-"8,0000E-13"
170-1967.02-"9,8182E-13"
171-1967.03-"9,8182E-13"
172-1967.04-"9,8182E-13"
173-1967.05-"9,8182E-13"
174-1967.06-"9,8182E-13"
175-1967.07-"9,8182E-13"
176-1967.08-"9,8182E-13"
177-1967.09-"9,8182E-13"
178-1967.10-"9,8182E-13"
179-1967.11-"9,8182E-13"
180-1967.12-"9,8182E-13"
181-1968.01-"1,1636E-12"
182-1968.02-"1,1636E-12"
183-1968.03-"1,1636E-12"
184-1968.04-"1,1636E-12"
185-1968.05-"1,1636E-12"
186-1968.06-"1,1636E-12"
187-1968.07-"1,1636E-12"
188-1968.08-"1,1927E-12"
189-1968.09-"1,3236E-12"
190-1968.10-"1,3382E-12"
191-1968.11-"1,3491E-12"
192-1968.12-"1,3782E-12"
193-1969.01-"1,3855E-12"
194-1969.02-"1,4109E-12"
195-1969.03-"1,4327E-12"
196-1969.04-"1,4473E-12"
197-1969.05-"1,4545E-12"
198-1969.06-"1,4655E-12"
199-1969.07-"1,4800E-12"
200-1969.08-"1,4836E-12"
201-1969.09-"1,5018E-12"
202-1969.10-"1,5200E-12"
203-1969.11-"1,5382E-12"
204-1969.12-"1,5600E-12"
205-1970.01-"1,5745E-12"
206-1970.02-"1,5891E-12"
207-1970.03-"1,5964E-12"
208-1970.04-"1,6218E-12"
209-1970.05-"1,6327E-12"
210-1970.06-"1,6473E-12"
211-1970.07-"1,6655E-12"
212-1970.08-"1,6800E-12"
213-1970.09-"1,6909E-12"
214-1970.10-"1,7055E-12"
215-1970.11-"1,7455E-12"
216-1970.12-"1,7673E-12"
217-1971.01-"1,7891E-12"
218-1971.02-"1,8073E-12"
219-1971.03-"1,8291E-12"
220-1971.04-"1,8473E-12"
221-1971.05-"1,8764E-12"
222-1971.06-"1,8982E-12"
223-1971.07-"1,9091E-12"
224-1971.08-"1,9455E-12"
225-1971.09-"1,9782E-12"
226-1971.10-"1,9891E-12"
227-1971.11-"2,0218E-12"
228-1971.12-"2,0364E-12"
229-1972.01-"2,0436E-12"
230-1972.02-"2,0909E-12"
231-1972.03-"2,1018E-12"
232-1972.04-"2,1127E-12"
233-1972.05-"2,1345E-12"
234-1972.06-"2,1382E-12"
235-1972.07-"2,1491E-12"
236-1972.08-"2,1564E-12"
237-1972.09-"2,1745E-12"
238-1972.10-"2,1927E-12"
239-1972.11-"2,2145E-12"
240-1972.12-"2,2400E-12"
241-1973.01-"2,2473E-12"
242-1973.02-"2,2073E-12"
243-1973.03-"2,1818E-12"
244-1973.04-"2,1855E-12"
245-1973.05-"2,2036E-12"
246-1973.06-"2,2036E-12"
247-1973.07-"2,2109E-12"
248-1973.08-"2,2145E-12"
249-1973.09-"2,2182E-12"
250-1973.10-"2,2255E-12"
251-1973.11-"2,2255E-12"
252-1973.12-"2,2364E-12"
253-1974.01-"2,2473E-12"
254-1974.02-"2,3018E-12"
255-1974.03-"2,3345E-12"
256-1974.04-"2,3527E-12"
257-1974.05-"2,2909E-12"
258-1974.06-"2,4218E-12"
259-1974.07-"2,4836E-12"
260-1974.08-"2,5164E-12"
261-1974.09-"2,5564E-12"
262-1974.10-"2,5855E-12"
263-1974.11-"2,6291E-12"
264-1974.12-"2,6618E-12"
265-1975.01-"2,6982E-12"
266-1975.02-"2,7418E-12"
267-1975.03-"2,7709E-12"
268-1975.04-"2,8218E-12"
269-1975.05-"2,8655E-12"
270-1975.06-"2,8873E-12"
271-1975.07-"2,9345E-12"
272-1975.08-"2,9964E-12"
273-1975.09-"3,0364E-12"
274-1975.10-"3,0909E-12"
275-1975.11-"3,1673E-12"
276-1975.12-"3,2509E-12"
277-1976.01-"3,3055E-12"
278-1976.02-"3,3709E-12"
279-1976.03-"3,4727E-12"
280-1976.04-"3,6655E-12"
281-1976.05-"3,7709E-12"
282-1976.06-"3,8582E-12"
283-1976.07-"3,9164E-12"
284-1976.08-"3,9927E-12"
285-1976.09-"4,0873E-12"
286-1976.10-"4,1745E-12"
287-1976.11-"4,2945E-12"
288-1976.12-"4,3964E-12"
289-1977.01-"4,5055E-12"
290-1977.02-"4,5927E-12"
291-1977.03-"4,7018E-12"
292-1977.04-"4,8291E-12"
293-1977.05-"4,9564E-12"
294-1977.06-"5,0836E-12"
295-1977.07-"5,2182E-12"
296-1977.08-"5,3164E-12"
297-1977.09-"5,3964E-12"
298-1977.10-"5,4691E-12"
299-1977.11-"5,5709E-12"
300-1977.12-"5,7345E-12"
301-1978.01-"5,8218E-12"
302-1978.02-"5,9127E-12"
303-1978.03-"6,0327E-12"
304-1978.04-"6,1455E-12"
305-1978.05-"6,2982E-12"
306-1978.06-"6,4400E-12"
307-1978.07-"6,5527E-12"
308-1978.08-"6,7273E-12"
309-1978.09-"6,8909E-12"
310-1978.10-"6,9964E-12"
311-1978.11-"7,1745E-12"
312-1978.12-"7,4218E-12"
313-1979.01-"7,6691E-12"
314-1979.02-"7,9273E-12"
315-1979.03-"8,1855E-12"
316-1979.04-"8,4618E-12"
317-1979.05-"8,8909E-12"
318-1979.06-"9,2800E-12"
319-1979.07-"9,4473E-12"
320-1979.08-"9,7636E-12"
321-1979.09-"1,0418E-11"
322-1979.10-"1,0916E-11"
323-1979.11-"1,1422E-11"
324-1979.12-"1,4578E-11"
325-1980.01-"1,5796E-11"
326-1980.02-"1,6240E-11"
327-1980.03-"1,6844E-11"
328-1980.04-"1,7498E-11"
329-1980.05-"1,8033E-11"
330-1980.06-"1,8604E-11"
331-1980.07-"1,9145E-11"
332-1980.08-"1,9800E-11"
333-1980.09-"2,0513E-11"
334-1980.10-"2,1302E-11"
335-1980.11-"2,2225E-11"
336-1980.12-"2,3127E-11"
337-1981.01-"2,4433E-11"
338-1981.02-"2,5513E-11"
339-1981.03-"2,6909E-11"
340-1981.04-"2,8571E-11"
341-1981.05-"3,0407E-11"
342-1981.06-"3,2084E-11"
343-1981.07-"3,4000E-11"
344-1981.08-"3,6156E-11"
345-1981.09-"3,8095E-11"
346-1981.10-"4,0331E-11"
347-1981.11-"4,2680E-11"
348-1981.12-"4,5167E-11"
349-1982.01-"4,7476E-11"
350-1982.02-"4,9745E-11"
351-1982.03-"5,2436E-11"
352-1982.04-"5,5080E-11"
353-1982.05-"5,7884E-11"
354-1982.06-"6,0909E-11"
355-1982.07-"6,4316E-11"
356-1982.08-"6,8425E-11"
357-1982.09-"7,3120E-11"
358-1982.10-"7,8044E-11"
359-1982.11-"8,3204E-11"
360-1982.12-"8,8800E-11"
361-1983.01-"9,5233E-11"
362-1983.02-"1,1417E-10"
363-1983.03-"1,4493E-10"
364-1983.04-"1,5749E-10"
365-1983.05-"1,7173E-10"
366-1983.06-"1,8735E-10"
367-1983.07-"2,0637E-10"
368-1983.08-"2,3283E-10"
369-1983.09-"2,5396E-10"
370-1983.10-"2,8413E-10"
371-1983.11-"3,1527E-10"
372-1983.12-"3,4223E-10"
373-1984.01-"3,6947E-10"
374-1984.02-"4,0913E-10"
375-1984.03-"4,5962E-10"
376-1984.04-"5,0211E-10"
377-1984.05-"5,4661E-10"
378-1984.06-"5,9516E-10"
379-1984.07-"6,5709E-10"
380-1984.08-"7,2160E-10"
381-1984.09-"7,9745E-10"
382-1984.10-"8,8782E-10"
383-1984.11-"9,8944E-10"
384-1984.12-"1,0886E-09"
385-1985.01-"1,2171E-09"
386-1985.02-"1,3619E-09"
387-1985.03-"1,5055E-09"
388-1985.04-"1,7083E-09"
389-1985.05-"1,8969E-09"
390-1985.06-"2,0808E-09"
391-1985.07-"2,2545E-09"
392-1985.08-"2,4332E-09"
393-1985.09-"2,6998E-09"
394-1985.10-"2,9623E-09"
395-1985.11-"3,2304E-09"
396-1985.12-"3,5865E-09"
397-1986.01-"4,0920E-09"
398-1986.02-"4,7145E-09"
399-1986.03-"5,0073E-09"
400-1986.04-"5,0073E-09"
401-1986.05-"5,0073E-09"
402-1986.06-"5,0073E-09"
403-1986.07-"5,0073E-09"
404-1986.08-"5,0073E-09"
405-1986.09-"5,0073E-09"
406-1986.10-"5,0545E-09"
407-1986.11-"5,1055E-09"
408-1986.12-"5,2618E-09"
409-1987.01-"5,6800E-09"
410-1987.02-"6,5636E-09"
411-1987.03-"7,6000E-09"
412-1987.04-"8,5782E-09"
413-1987.05-"1,1138E-08"
414-1987.06-"1,4269E-08"
415-1987.07-"1,6258E-08"
416-1987.08-"1,7055E-08"
417-1987.09-"1,8044E-08"
418-1987.10-"1,9324E-08"
419-1987.11-"2,1451E-08"
420-1987.12-"2,4418E-08"
421-1988.01-"2,8098E-08"
422-1988.02-"3,2869E-08"
423-1988.03-"3,8767E-08"
424-1988.04-"4,5476E-08"
425-1988.05-"5,4505E-08"
426-1988.06-"6,4516E-08"
427-1988.07-"7,8091E-08"
428-1988.08-"9,6756E-08"
429-1988.09-"1,1804E-07"
430-1988.10-"1,4896E-07"
431-1988.11-"1,9038E-07"
432-1988.12-"2,4280E-07"
433-1989.01-"3,2727E-07"
434-1989.02-"3,6000E-07"
435-1989.03-"3,6000E-07"
436-1989.04-"3,6727E-07"
437-1989.05-"3,9636E-07"
438-1989.06-"4,8364E-07"
439-1989.07-"6,9455E-07"
440-1989.08-"8,9455E-07"
441-1989.09-"1,1818E-06"
442-1989.10-"1,6255E-06"
443-1989.11-"2,2618E-06"
444-1989.12-"3,3491E-06"
445-1990.01-"5,1782E-06"
446-1990.02-"8,5600E-06"
447-1990.03-"1,3458E-05"
448-1990.04-"1,7200E-05"
449-1990.05-"1,8887E-05"
450-1990.06-"2,0691E-05"
451-1990.07-"2,4095E-05"
452-1990.08-"2,6015E-05"
453-1990.09-"2,7335E-05"
454-1990.10-"3,4393E-05"
455-1990.11-"4,4535E-05"
456-1990.12-00001
457-1991.01-00001
458-1991.02-00001
459-1991.03-00001
460-1991.04-00001
461-1991.05-00001
462-1991.06-00001
463-1991.07-00001
464-1991.08-00001
465-1991.09-00002
466-1991.10-00002
467-1991.11-00003
468-1991.12-00003
469-1992.01-00004
470-1992.02-00005
471-1992.03-00007
472-1992.04-00008
473-1992.05-00010
474-1992.06-00011
475-1992.07-00014
476-1992.08-00017
477-1992.09-00021
478-1992.10-00026
479-1992.11-00033
480-1992.12-00041
481-1993.01-00051
482-1993.02-00065
483-1993.03-00082
484-1993.04-00104
485-1993.05-00135
486-1993.06-00175
487-1993.07-00228
488-1993.08-00301
489-1993.09-00404
490-1993.10-00550
491-1993.11-00748
492-1993.12-01016
493-1994.01-01421
494-1994.02-02003
495-1994.03-02793
496-1994.04-04035
497-1994.05-05765
498-1994.06-08326
499-1994.07-09248
500-1994.08-08966
501-1994.09-08632
502-1994.10-08440
503-1994.11-08398
504-1994.12-08481
505-1995.01-08451
506-1995.02-08388
507-1995.03-08874
508-1995.04-09055
509-1995.05-08954
510-1995.06-09120
511-1995.07-09268
512-1995.08-09400
513-1995.09-09508
514-1995.10-09587
515-1995.11-09624
516-1995.12-09673
517-1996.01-09735
518-1996.02-09801
519-1996.03-09853
520-1996.04-09894
521-1996.05-09945
522-1996.06-10005
523-1996.07-10061
524-1996.08-10126
525-1996.09-10185
526-1996.10-10243
527-1996.11-10296
528-1996.12-10365
529-1997.01-10421
530-1997.02-10485
531-1997.03-10559
532-1997.04-10601
533-1997.05-10675
534-1997.06-10738
535-1997.07-10799
536-1997.08-10871
537-1997.09-10928
538-1997.10-10993
539-1997.11-11065
540-1997.12-11128
541-1998.01-11191
542-1998.02-11329
543-1998.03-11329
544-1998.04-11404
545-1998.05-11473
546-1998.06-11538
547-1998.07-11607
548-1998.08-11709
549-1998.09-11801
550-1998.10-11876
551-1998.11-11929
552-1998.12-12046
553-1999.01-15011
554-1999.02-19129
555-1999.03-18960
556-1999.04-16933
557-1999.05-16827
558-1999.06-17646
559-1999.07-17995
560-1999.08-18800
561-1999.09-18973
562-1999.10-19687
563-1999.11-19291
564-1999.12-18420
565-2000.01-18029
566-2000.02-17745
567-2000.03-17412
568-2000.04-17674
569-2000.05-18271
570-2000.06-18075
571-2000.07-17970
572-2000.08-18084
573-2000.09-18384
574-2000.10-18788
575-2000.11-19472
576-2000.12-19625
577-2001.01-19537
578-2001.02-20011
579-2001.03-20882
580-2001.04-21917
581-2001.05-22964
582-2001.06-23750
583-2001.07-24652
584-2001.08-25098
585-2001.09-26709
586-2001.10-27394
587-2001.11-25423
588-2001.12-23619
589-2002.01-23771
590-2002.02-24188
591-2002.03-23458
592-2002.04-23196
593-2002.05-24796
594-2002.06-27132
595-2002.07-29338
596-2002.08-31093
597-2002.09-33412
598-2002.10-38051
599-2002.11-35756
600-2002.12-36251
601-2003.01-34376
602-2003.02-35900
603-2003.03-34461
604-2003.04-31179
605-2003.05-29549
606-2003.06-28824
607-2003.07-28790
608-2003.08-30017
609-2003.09-29220
610-2003.10-28607
611-2003.11-29130
612-2003.12-29245
613-2004.01-28510
614-2004.02-29295
615-2004.03-29047
616-2004.04-29052
617-2004.05-30996
618-2004.06-31283
619-2004.07-30360
620-2004.08-30021
621-2004.09-28903
622-2004.10-28521
623-2004.11-27852
624-2004.12-27174
625-2005.01-26922
626-2005.02-25970
627-2005.03-27039
628-2005.04-25784
629-2005.05-24520
630-2005.06-24127
631-2005.07-23727
632-2005.08-23598
633-2005.09-22936
634-2005.10-22557
635-2005.11-22100
636-2005.12-22847
637-2006.01-22731
638-2006.02-21611
639-2006.03-21512
640-2006.04-21285
641-2006.05-21773
642-2006.06-22475
643-2006.07-21885
644-2006.08-21551
645-2006.09-21679
646-2006.10-21475
647-2006.11-21571
648-2006.12-21491
649-2007.01-21377
650-2007.02-20955
651-2007.03-20879
652-2007.04-20312
653-2007.05-19808
654-2007.06-19311
655-2007.07-18820
656-2007.08-19652
657-2007.09-18988
658-2007.10-18002
659-2007.11-17691
660-2007.12-17852
661-2008.01-17735
662-2008.02-17269
663-2008.03-17068
664-2008.04-16881
665-2008.05-16597
666-2008.06-16181
667-2008.07-15906
668-2008.08-16115
669-2008.09-17988
670-2008.10-21721
671-2008.11-22655
672-2008.12-23936
673-2009.01-23066
674-2009.02-23119
675-2009.03-23130
676-2009.04-22051
677-2009.05-20601
678-2009.06-19568
679-2009.07-19320
680-2009.08-18444
681-2009.09-18190
682-2009.10-17376
683-2009.11-17252
684-2009.12-17495
685-2010.01-17790
686-2010.02-18394
687-2010.03-17850
688-2010.04-17558
689-2010.05-18124
690-2010.06-18054
691-2010.07-17688
692-2010.08-17588
693-2010.09-17179
694-2010.10-16852
695-2010.11-17125
696-2010.12-16927
697-2011.01-16741
698-2011.02-16672
699-2011.03-16583
700-2011.04-15856
701-2011.05-16127
702-2011.06-15862
703-2011.07-15631
704-2011.08-15962
705-2011.09-17490
706-2011.10-17719
707-2011.11-17897
708-2011.12-18362
709-2012.01-17890
710-2012.02-17178
711-2012.03-17947
712-2012.04-18542
713-2012.05-19854
714-2012.06-20486
715-2012.07-20282
716-2012.08-20289
717-2012.09-20275
718-2012.10-20293
719-2012.11-20672
720-2012.12-20772
721-2013.01-20305
722-2013.02-19727
723-2013.03-19823
724-2013.04-20016
725-2013.05-20343
726-2013.06-21724
727-2013.07-22516
728-2013.08-23416
729-2013.09-22699
730-2013.10-21881
731-2013.11-22947
732-2013.12-23449
733-2014.01-23816
734-2014.02-23831
735-2014.03-23255
736-2014.04-22317
737-2014.05-22203
738-2014.06-22349
739-2014.07-22240
740-2014.08-22674
741-2014.09-23323
742-2014.10-24476
743-2014.11-25482
744-2014.12-26387
745-2015.01-26336
746-2015.02-28158
747-2015.03-31389
748-2015.04-30426
749-2015.05-30611
750-2015.06-31111
751-2015.07-32225
752-2015.08-35137
753-2015.09-39058
754-2015.10-38795
755-2015.11-37758
756-2015.12-38705
757-2016.01-40517
758-2016.02-39731
759-2016.03-37033
760-2016.04-35652
761-2016.05-35387
762-2016.06-34239
763-2016.07-32747
764-2016.08-32091
765-2016.09-32558
766-2016.10-31852
767-2016.11-33414
768-2016.12-33517
769-2017.01-31960
770-2017.02-31036
771-2017.03-31273
772-2017.04-31356
773-2017.05-32087
774-2017.06-32948
775-2017.07-32055
776-2017.08-31503
777-2017.09-31342
778-2017.10-31906
779-2017.11-32587
780-2017.12-32913
781-2018.01-32100
782-2018.02-32409
783-2018.03-32786
784-2018.04-34069
785-2018.05-36355
786-2018.06-37726
787-2018.07-38281
788-2018.08-39292
789-2018.09-41159
790-2018.10-37578
791-2018.11-37860
792-2018.12-38821
793-2019.01-37411
794-2019.02-37230
795-2019.03-38459
796-2019.04-38956
797-2019.05-40009
798-2019.06-38582
799-2019.07-37787
800-2019.08-40194
801-2019.09-41209
802-2019.10-40864
803-2019.11-41547
804-2019.12-41089
805-2020.01-41489
806-2020.02-43404
807-2020.03-48832
808-2020.04-53250
809-2020.05-56429
810-2020.06-51960
811-2020.07-52796
812-2020.08-54606
813-2020.09-53989
814-2020.10-56252
